Anio,Mes,IGPOSE
2008,Enero,99.82
2008,Febrero,99.844
2008,Marzo,100.436
2008,Abril,100.152
2008,Mayo,100.182
2008,Junio,99.802
2008,Julio,99.32
2008,Agosto,99.481
2008,Septiembre,98.84
2008,Octubre,98.928
2008,Noviembre,98.117
2008,Diciembre,98.379
2009,Enero,95.666
2009,Febrero,94.869
2009,Marzo,94.974
2009,Abril,94.448
2009,Mayo,93.855
2009,Junio,94.221
2009,Julio,93.783
2009,Agosto,94.172
2009,Septiembre,94.41
2009,Octubre,95.025
2009,Noviembre,95.151
2009,Diciembre,95.829
2010,Enero,93.326
2010,Febrero,93.587
2010,Marzo,94.516
2010,Abril,94.668
2010,Mayo,95.285
2010,Junio,95.239
2010,Julio,95.524
2010,Agosto,95.973
2010,Septiembre,96.137
2010,Octubre,96.671
2010,Noviembre,96.712
2010,Diciembre,96.973
2011,Enero,95.398
2011,Febrero,95.508
2011,Marzo,96.414
2011,Abril,96.404
2011,Mayo,96.58
2011,Junio,97.076
2011,Julio,96.879
2011,Agosto,97.239
2011,Septiembre,97.51
2011,Octubre,97.983
2011,Noviembre,97.934
2011,Diciembre,98.048
2012,Enero,97.459
2012,Febrero,97.642
2012,Marzo,98.498
2012,Abril,98.343
2012,Mayo,98.942
2012,Junio,99.407
2012,Julio,99.177
2012,Agosto,99.374
2012,Septiembre,99.534
2012,Octubre,99.871
2012,Noviembre,99.785
2012,Diciembre,99.99
2013,Enero,98.906
2013,Febrero,99.19
2013,Marzo,99.445
2013,Abril,99.685
2013,Mayo,100.06
2013,Junio,100.043
2013,Julio,99.999
2013,Agosto,100.379
2013,Septiembre,100.306
2013,Octubre,100.565
2013,Noviembre,100.786
2013,Diciembre,100.637
2014,Enero,100.588
2014,Febrero,100.632
2014,Marzo,100.624
2014,Abril,101.101
2014,Mayo,101.497
2014,Junio,101.258
2014,Julio,101.31
2014,Agosto,101.628
2014,Septiembre,101.782
2014,Octubre,101.908
2014,Noviembre,102.256
2014,Diciembre,101.94
2015,Enero,101.704
2015,Febrero,102.444
2015,Marzo,102.404
2015,Abril,102.776
2015,Mayo,102.922
2015,Junio,103.422
2015,Julio,103.378
2015,Agosto,103.406
2015,Septiembre,103.704
2015,Octubre,104.328
2015,Noviembre,104.243
2015,Diciembre,104.144
2016,Enero,103.997
2016,Febrero,104.069
2016,Marzo,104.476
2016,Abril,104.662
2016,Mayo,105.069
2016,Junio,104.988
2016,Julio,104.991
2016,Agosto,105.45
2016,Septiembre,105.673
2016,Octubre,106.068
2016,Noviembre,106.498
2016,Diciembre,106.241
2017,Enero,106.335
2017,Febrero,106.928
2017,Marzo,107.225
2017,Abril,107.245
2017,Mayo,107.775
2017,Junio,107.848
2017,Julio,108.147
2017,Agosto,108.746
2017,Septiembre,108.7
2017,Octubre,108.984
2017,Noviembre,109.164
2017,Diciembre,109.201
2018,Enero,109.185
2018,Febrero,109.453
2018,Marzo,109.795
2018,Abril,110.58
2018,Mayo,110.189
2018,Junio,109.764
2018,Julio,109.707
2018,Agosto,110.041
2018,Septiembre,109.972
2018,Octubre,110.275
2018,Noviembre,110.698
2018,Diciembre,110.543
2019,Enero,110.367
2019,Febrero,110.759
2019,Marzo,110.206
2019,Abril,111.2
2019,Mayo,111.881
2019,Junio,111.063
2019,Julio,110.843
2019,Agosto,110.952
2019,Septiembre,110.536
2019,Octubre,110.527
2019,Noviembre,110.602
2019,Diciembre,110.166
2020,Enero,109.317
2020,Febrero,109.656
2020,Marzo,108.677
2020,Abril,105.175
2020,Mayo,103.704
2020,Junio,103.337
2020,Julio,103.738
2020,Agosto,104.358
2020,Septiembre,104.888
2020,Octubre,105.456
2020,Noviembre,105.583
2020,Diciembre,105.435
2021,Enero,104.968
2021,Febrero,105.501
2021,Marzo,105.639
2021,Abril,105.887
2021,Mayo,105.916
2021,Junio,105.873
2021,Julio,106.125
2021,Agosto,106.262
2021,Septiembre,106.335
2021,Octubre,106.632
2021,Noviembre,106.693
2021,Diciembre,106.13
2022,Enero,106.104
2022,Febrero,107.033
2022,Marzo,107.513
2022,Abril,107.437
2022,Mayo,107.391
2022,Junio,107.535
2022,Julio,107.352
2022,Agosto,107.926
2022,Septiembre,107.87
2022,Octubre,108.149
2022,Noviembre,108.086
2022,Diciembre,107.816
2023,Enero,107.529
2023,Febrero,107.784
